Experiment,Plot,Age,Column,block,breeding.program,population,combine grain_2020_kg,tot_biom_summer,sbio_iwg_kg,sbio_legume_kg,sbio_weeds_kg,spikes_kg,qgrain_kg,cgrain_kg,csbiomass_1718,per_plot,cp_siwg_nirs,cp_siwg_wet,adf_siwg_nirs,adf_siwg_wet,ndf_siwg_nirs,ndf_siwg_wet,cp_sleg_nirs,cp_sleg_wet,adf_sleg_nirs,adf_sleg_wet,ndf_sleg_nirs,ndf_sleg_wet,cp_fiwg_nirs,cp_fiwg_wet,adf_fiwg_nirs,adf_fiwg_wet,ndf_fiwg_nirs,ndf_fiwg_wet,cp_fleg_nirs,cp_fleg_wet,adf_fleg_nirs,adf_fleg_wet,ndf_fleg_nirs,ndf_fleg_wet
2018,4106,2,,10,CA,Canada 2,.,.,800,2480,760,320,166.724,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4107,2,,7,MN,MN: 1505,.,.,800,1560,160,160,74.028,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4108,2,,7,KS,WI-HK1,.,.,560,1680,0,40,5.74,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4109,2,,7,KS,WI-AK2,.,.,1520,1800,0,160,82.736,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4110,2,,8,MN,MN: 1504,.,.,1560,2800,0,40,19.768,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4111,2,,8,FO,Oahe forage,.,.,1720,3000,0,160,48.808,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4112,2,,9,KS,WI-AK2,.,.,,2280,0,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4113,2,,9,FO,Rush forage,.,.,,2680,0,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4114,2,,10,CA,Canada 1,.,.,,3200,40,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4115,2,,10,KS,WI-AK2,.,.,,1560,280,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4116,2,,10,MN,MN: 1504,.,.,,2280,1280,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4117,2,,7,KS,Kansas Cycle 4,.,.,2040,1760,200,240,83.932,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4118,2,,7,MN,MN: 1503,.,.,960,1560,0,0,7.112,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4119,2,,7,FO,Rush forage,.,.,,1720,0,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4120,2,,8,KS,Kansas Cycle 5,.,.,,2320,80,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4121,2,,8,MN,MN: 1501,.,.,,2840,0,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4122,2,,9,MN,MN: 1505,.,.,480,2640,0,0,10.1,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4123,2,,9,KS,AK5 2018 harvest,.,.,,3040,0,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4124,2,,10,KS,Kansas Cycle 4,.,.,,2680,0,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4125,2,,10,MN,MN: 1505,.,.,,3400,0,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4126,2,,10,MN,MN: 1503,.,.,1880,4000,40,600,307.036,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4127,2,,7,KS,Kansas Cycle 5,.,.,1280,760,0,160,59.172,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4128,2,,7,CA,Canada 2,.,.,600,720,40,0,2.952,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4129,2,,8,MN,MN: 1505,.,.,480,1400,40,0,2.352,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4130,2,,8,MN,MN: 1502,.,.,280,1400,0,0,9.56,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4131,2,,8,CA,Canada 2,.,.,1280,2400,40,0,24.364,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4132,2,,9,MN,MN: 1504,.,.,720,2880,120,120,41.148,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4133,2,,9,MN,MN: 1501,.,.,1160,2120,40,160,53.592,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4134,2,,9,MN,MN: 1502,.,.,1600,1480,0,40,15.392,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4135,2,,10,MN,MN: 1502,.,.,360,1640,0,80,27.032,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4136,2,,10,FO,Rush forage,.,.,1520,2040,120,360,131.16,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4137,2,,7,CA,Canada 1,.,.,640,1840,0,40,29.084,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4138,2,,7,MN,MN: 1504,.,.,880,1680,0,0,11.12,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4139,2,,8,KS,WI-AK2,.,.,1240,1480,0,80,34.416,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4140,2,,8,KS,Kansas Cycle 3,.,.,1080,1320,0,40,26.728,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4141,2,,8,FO,Rush forage,.,.,800,2840,40,0,7.1,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4142,2,,9,FO,Oahe forage,.,.,1360,1840,0,160,68.696,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4143,2,,9,KS,Kansas Cycle 5,.,.,520,2080,0,0,1.996,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4144,2,,9,KS,Kansas Cycle 3,.,.,1240,1120,0,0,8,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4145,2,,10,KS,Kansas Cycle 5,.,.,2960,3000,120,200,150.196,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4146,2,,10,KS,Kansas Cycle 3,.,.,2240,960,0,240,146.104,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4147,2,,7,MN,MN: 1502,.,.,1680,680,0,80,33.62,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4148,2,,7,KS,Kansas Cycle 3,.,.,1680,1560,0,80,42.8,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4149,2,,8,KS,AK5 2018 harvest,.,.,1600,1200,0,80,54.68,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4150,2,,8,CA,Canada 1,.,.,920,1080,0,40,41.716,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4151,2,,8,MN,MN: 1503,.,.,1760,2920,40,40,22.832,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4152,2,,9,CA,Canada 2,.,.,1240,3520,0,0,8.872,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4153,2,,9,CA,Canada 1,.,.,2000,3640,0,320,128.096,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4154,2,,9,MN,MN: 1503,.,.,920,3000,240,80,49.48,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4155,2,,10,KS,AK5 2018 harvest,.,.,1160,1440,0,200,138.944,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4156,2,,10,KS,WI-HK1,.,.,2280,1680,0,160,63.104,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,4097,3,,7,FO,Oahe forage,.,.,4320,0,80,240,76.376,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4098,3,,7,KS,AK5 2018 harvest,.,.,2760,320,0,440,166.244,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4099,3,,7,MN,MN: 1501,.,.,3360,400,160,120,69.08,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4100,3,,8,KS,Kansas Cycle 4,.,.,3480,640,0,360,137.64,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4101,3,,8,KS,WI-HK1,.,.,5920,0,360,520,198.304,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4102,3,,9,KS,WI-HK1,.,.,5840,0,0,600,289.436,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4103,3,,9,KS,Kansas Cycle 4,.,.,3000,320,360,280,146.06,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4104,3,,10,MN,MN: 1501,.,.,800,600,2640,240,96.536,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4105,3,,10,FO,Oahe forage,.,.,3440,0,1160,240,113.956,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4106,3,,10,CA,Canada 2,.,.,3280,0,0,440,170.196,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4107,3,,7,MN,MN: 1505,.,.,5160,0,0,760,295.624,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4108,3,,7,KS,WI-HK1,.,.,4920,0,0,560,209.12,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4109,3,,7,KS,WI-AK2,.,.,2760,400,0,200,78.552,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4110,3,,8,MN,MN: 1504,.,.,1840,0,360,200,62.076,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4111,3,,8,FO,Oahe forage,.,.,2680,40,240,200,61.856,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4112,3,,9,KS,WI-AK2,.,.,5080,600,480,1360,632.964,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4113,3,,9,FO,Rush forage,.,.,0,2400,0,0,0,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4114,3,,10,CA,Canada 1,.,.,0,200,2680,0,0,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4115,3,,10,KS,WI-AK2,.,.,0,1280,3160,0,0,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4116,3,,10,MN,MN: 1504,.,.,0,2480,1920,0,0,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4117,3,,7,KS,Kansas Cycle 4,.,.,4200,0,0,280,103.88,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4118,3,,7,MN,MN: 1503,.,.,2440,360,0,200,60.468,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4119,3,,7,FO,Rush forage,.,.,160,1160,520,80,27.104,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4120,3,,8,KS,Kansas Cycle 5,.,.,0,0,3120,0,0,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4121,3,,8,MN,MN: 1501,.,.,0,1000,400,0,0,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4122,3,,9,MN,MN: 1505,.,.,3520,1040,200,680,317.612,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4123,3,,9,KS,AK5 2018 harvest,.,.,0,680,1800,0,0,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4124,3,,10,KS,Kansas Cycle 4,.,.,0,2720,0,0,0,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4125,3,,10,MN,MN: 1505,.,.,0,4960,0,0,0,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4126,3,,10,MN,MN: 1503,.,.,2560,2480,0,80,59.804,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4127,3,,7,KS,Kansas Cycle 5,.,.,3480,80,0,480,125.988,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4128,3,,7,CA,Canada 2,.,.,2240,120,40,280,117.82,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4129,3,,8,MN,MN: 1505,.,.,1080,1360,0,200,40.34,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4130,3,,8,MN,MN: 1502,.,.,1320,840,360,40,23.784,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4131,3,,8,CA,Canada 2,.,.,3160,320,160,320,119.776,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4132,3,,9,MN,MN: 1504,.,.,2320,480,120,280,77.948,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4133,3,,9,MN,MN: 1501,.,.,3640,0,0,440,170.908,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4134,3,,9,MN,MN: 1502,.,.,5800,0,0,1360,544.608,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4135,3,,10,MN,MN: 1502,.,.,3600,120,0,1000,308.944,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4136,3,,10,FO,Rush forage,.,.,6680,0,0,1080,447.08,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4137,3,,7,CA,Canada 1,.,.,3480,0,120,160,85.46,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4138,3,,7,MN,MN: 1504,.,.,3040,120,0,320,149.172,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4139,3,,8,KS,WI-AK2,.,.,3240,280,0,40,25.588,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4140,3,,8,KS,Kansas Cycle 3,.,.,1600,760,0,0,11.088,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4141,3,,8,FO,Rush forage,.,.,5080,160,0,240,78.788,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4142,3,,9,FO,Oahe forage,.,.,4840,360,160,480,221.704,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4143,3,,9,KS,Kansas Cycle 5,.,.,4760,360,0,560,268.5,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4144,3,,9,KS,Kansas Cycle 3,.,.,4960,480,0,520,195.124,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4145,3,,10,KS,Kansas Cycle 5,.,.,6800,0,0,840,388.616,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4146,3,,10,KS,Kansas Cycle 3,.,.,9120,0,0,1440,731.34,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4147,3,,7,MN,MN: 1502,.,.,4000,0,0,440,170.816,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4148,3,,7,KS,Kansas Cycle 3,.,.,2600,240,0,360,115.12,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4149,3,,8,KS,AK5 2018 harvest,.,.,2440,280,0,240,83.732,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4150,3,,8,CA,Canada 1,.,.,2840,320,0,200,69.796,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4151,3,,8,MN,MN: 1503,.,.,4280,120,0,520,128.336,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4152,3,,9,CA,Canada 2,.,.,4520,120,120,720,219.936,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4153,3,,9,CA,Canada 1,.,.,3120,280,0,640,192.692,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4154,3,,9,MN,MN: 1503,.,.,4480,0,0,600,137.34,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4155,3,,10,KS,AK5 2018 harvest,.,.,5480,0,0,1160,429.308,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
2018,4156,3,,10,KS,WI-HK1,.,.,7440,0,0,1360,599.948,,.,.,,,,,,,,,,,,,,,,,,,,,,,,
